ticker,name,sleeve,action,score,weight_total,weight_equity,amount_krw
CASH,채권및현금,CASH,HOLD,0,0.4000,0,40000000
005930,삼성전자,CORE_SEMI,CORE_HOLD,92.54,0.1650,0.2750,16500000
000660,SK하이닉스,CORE_SEMI,CORE_HOLD,88.09,0.1350,0.2250,13500000
009150,삼성전기,AI_CONNECT,ACCUMULATE,63.73,0.0331,0.0551,3310000
042700,한미반도체,AI_CONNECT,ACCUMULATE,62.50,0.0324,0.0541,3240000
007660,이수페타시스,AI_CONNECT,ACCUMULATE,57.92,0.0300,0.0501,3000000
353200,대덕전자,AI_CONNECT,ACCUMULATE,53.69,0.0279,0.0464,2790000
007810,코리아써키트,AI_CONNECT,ACCUMULATE,51.17,0.0266,0.0443,2660000
034020,두산에너빌리티,MACRO_HEDGE,HEDGE,54.86,0.0252,0.0420,2520000
105560,KB금융,MACRO_HEDGE,HEDGE,48.46,0.0216,0.0360,2160000
015760,한국전력,MACRO_HEDGE,HEDGE,54.80,0.0180,0.0300,1800000
055550,신한지주,MACRO_HEDGE,HEDGE,46.44,0.0144,0.0240,1440000
003490,대한항공,MACRO_HEDGE,HEDGE,28.89,0.0108,0.0180,1080000
161890,한국콜마,COSMETICS,TRADE,23.85,0.0306,0.0510,3060000
192820,코스맥스,COSMETICS,TRADE,22.87,0.0294,0.0490,2940000
